nom_entrepot,date,temperature,humidite
Hub Casablanca,2025-01-09 14:00:00,2.3,87.87
Hub Casablanca,2025-01-09 15:00:00,2.3,81.33
Hub Casablanca,2025-01-09 16:00:00,2.3,84.16
Hub Casablanca,2025-01-09 17:00:00,3.96,84.64
Hub Casablanca,2025-01-09 18:00:00,2.32,83.46
Hub Casablanca,2025-01-09 19:00:00,2.6,87.7
Hub Casablanca,2025-01-09 20:00:00,2.51,82.84
Hub Casablanca,2025-01-09 21:00:00,2.36,83.33
Hub Casablanca,2025-01-09 22:00:00,1.88,82.87
Hub Casablanca,2025-01-09 23:00:00,2.42,88.28
Hub Casablanca,2025-01-10 00:00:00,1.65,83.52
Hub Casablanca,2025-01-10 01:00:00,1.92,86.38
Hub Casablanca,2025-01-10 02:00:00,1.79,90.93
Hub Casablanca,2025-01-10 03:00:00,2.08,84.78
Hub Casablanca,2025-01-10 04:00:00,3.19,88.34
Hub Casablanca,2025-01-10 05:00:00,1.1,90.01
Hub Casablanca,2025-01-10 06:00:00,2.38,88.08
Hub Casablanca,2025-01-10 07:00:00,1.23,84.95
Hub Casablanca,2025-01-10 08:00:00,1.8,86.93
Hub Casablanca,2025-01-10 09:00:00,2.58,81.14
Hub Casablanca,2025-01-10 10:00:00,2.07,82.66
Hub Casablanca,2025-01-10 11:00:00,1.49,83.19
Hub Casablanca,2025-01-10 12:00:00,1.67,91.72
Hub Casablanca,2025-01-10 13:00:00,2.37,82.56
Hub Casablanca,2025-01-10 14:00:00,1.67,82.52
Hub Casablanca,2025-01-10 15:00:00,2.14,81.87
Hub Casablanca,2025-01-10 16:00:00,2.05,86.68
Hub Casablanca,2025-01-10 17:00:00,1.71,85.43
Hub Casablanca,2025-01-10 18:00:00,3.1,88.26
Hub Casablanca,2025-01-10 19:00:00,2.35,87.01
Hub Casablanca,2025-01-10 20:00:00,1.02,80.86
Hub Casablanca,2025-01-10 21:00:00,2.12,82.58
Hub Casablanca,2025-01-10 22:00:00,1.7,89.1
Hub Casablanca,2025-01-10 23:00:00,2.46,84.39
Hub Casablanca,2025-01-11 00:00:00,1.63,88.56
Hub Casablanca,2025-01-11 01:00:00,1.97,84.55
Hub Casablanca,2025-01-11 02:00:00,2.28,82.1
Hub Casablanca,2025-01-11 03:00:00,2.46,84.09
Hub Casablanca,2025-01-11 04:00:00,1.43,82.1
Hub Casablanca,2025-01-11 05:00:00,1.86,83.3
Hub Casablanca,2025-01-11 06:00:00,1.79,85.6
Hub Casablanca,2025-01-11 07:00:00,1.7,86.53
Hub Casablanca,2025-01-11 08:00:00,2.91,80.23
Hub Casablanca,2025-01-11 09:00:00,2.23,84.95
Hub Casablanca,2025-01-11 10:00:00,1.4,83.24
Hub Casablanca,2025-01-11 11:00:00,2.49,83.05
Hub Casablanca,2025-01-11 12:00:00,3.09,85.4
Hub Casablanca,2025-01-11 13:00:00,2.54,83.35
Hub Casablanca,2025-01-11 14:00:00,1.27,89.15
Hub Casablanca,2025-01-11 15:00:00,1.78,88.56
Hub Casablanca,2025-01-11 16:00:00,2.66,88.55
Hub Casablanca,2025-01-11 17:00:00,1.67,83.52
Hub Casablanca,2025-01-11 18:00:00,2.25,82.11
Hub Casablanca,2025-01-11 19:00:00,2.41,85.25
Hub Casablanca,2025-01-11 20:00:00,1.56,84.55
Hub Casablanca,2025-01-11 21:00:00,1.99,83.17
Hub Casablanca,2025-01-11 22:00:00,0.4,81.47
Hub Casablanca,2025-01-11 23:00:00,1.51,84.88
Hub Casablanca,2025-01-12 00:00:00,1.9,83.79
Hub Casablanca,2025-01-12 01:00:00,1.4,87.07
Hub Casablanca,2025-01-12 02:00:00,2.84,87.0
Hub Casablanca,2025-01-12 03:00:00,1.31,88.3
Hub Casablanca,2025-01-12 04:00:00,1.8,81.22
Hub Casablanca,2025-01-12 05:00:00,2.09,86.2
Hub Casablanca,2025-01-12 06:00:00,2.74,82.82
Hub Casablanca,2025-01-12 07:00:00,1.3,81.34
Hub Casablanca,2025-01-12 08:00:00,2.6,83.71
Hub Casablanca,2025-01-12 09:00:00,2.03,88.21
Hub Casablanca,2025-01-12 10:00:00,1.53,83.88
Hub Casablanca,2025-01-12 11:00:00,2.25,89.7
Hub Casablanca,2025-01-12 12:00:00,2.12,86.65
Hub Casablanca,2025-01-12 13:00:00,1.72,83.82
Hub Casablanca,2025-01-12 14:00:00,2.06,88.48
Hub Casablanca,2025-01-12 15:00:00,1.83,86.34
Hub Casablanca,2025-01-12 16:00:00,2.08,82.2
Hub Casablanca,2025-01-12 17:00:00,2.35,90.58
Hub Casablanca,2025-01-12 18:00:00,2.81,85.78
Hub Casablanca,2025-01-12 19:00:00,1.4,85.06
Hub Casablanca,2025-01-12 20:00:00,3.09,82.43
Hub Casablanca,2025-01-12 21:00:00,1.04,88.54
Hub Casablanca,2025-01-12 22:00:00,1.94,86.55
Hub Casablanca,2025-01-12 23:00:00,2.31,86.89
Hub Casablanca,2025-01-13 00:00:00,2.16,83.48
Hub Casablanca,2025-01-13 01:00:00,1.71,87.5
Hub Casablanca,2025-01-13 02:00:00,1.91,87.74
Hub Casablanca,2025-01-13 03:00:00,1.77,82.99
Hub Casablanca,2025-01-13 04:00:00,1.72,80.75
Hub Casablanca,2025-01-13 05:00:00,2.44,86.74
Hub Casablanca,2025-01-13 06:00:00,2.2,80.28
Hub Casablanca,2025-01-13 07:00:00,1.67,85.46
Hub Casablanca,2025-01-13 08:00:00,2.47,83.66
Hub Casablanca,2025-01-13 09:00:00,2.17,88.66
Hub Casablanca,2025-01-13 10:00:00,2.42,83.82
Hub Casablanca,2025-01-13 11:00:00,2.33,88.32
Hub Casablanca,2025-01-13 12:00:00,1.6,83.46
Hub Casablanca,2025-01-13 13:00:00,1.74,88.0
Hub Casablanca,2025-01-13 14:00:00,2.39,91.18
Hub Casablanca,2025-01-13 15:00:00,2.32,81.8
Hub Casablanca,2025-01-13 16:00:00,2.01,85.88
Hub Casablanca,2025-01-13 17:00:00,2.07,93.25
Hub Casablanca,2025-01-13 18:00:00,2.65,85.2
Hub Casablanca,2025-01-13 19:00:00,1.72,85.19
Hub Casablanca,2025-01-13 20:00:00,2.29,87.37
Hub Casablanca,2025-01-13 21:00:00,1.91,85.12
Hub Casablanca,2025-01-13 22:00:00,1.91,79.88
Hub Casablanca,2025-01-13 23:00:00,2.56,88.4
Hub Casablanca,2025-01-14 00:00:00,2.43,78.99
Hub Casablanca,2025-01-14 01:00:00,2.42,83.75
Hub Casablanca,2025-01-14 02:00:00,2.67,88.62
Hub Casablanca,2025-01-14 03:00:00,2.02,83.93
Hub Casablanca,2025-01-14 04:00:00,2.35,82.92
Hub Casablanca,2025-01-14 05:00:00,1.86,87.64
Hub Casablanca,2025-01-14 06:00:00,2.18,82.45
Hub Casablanca,2025-01-14 07:00:00,1.95,81.33
Hub Casablanca,2025-01-14 08:00:00,2.06,85.82
Hub Casablanca,2025-01-14 09:00:00,2.31,84.45
Hub Casablanca,2025-01-14 10:00:00,1.6,81.27
Hub Casablanca,2025-01-14 11:00:00,3.06,86.91
Hub Casablanca,2025-01-14 12:00:00,1.51,86.39
Hub Casablanca,2025-01-14 13:00:00,1.41,83.92
Hub Casablanca,2025-01-14 14:00:00,2.59,84.13
Hub Casablanca,2025-01-14 15:00:00,2.41,86.41
Hub Casablanca,2025-01-14 16:00:00,2.32,88.57
Hub Casablanca,2025-01-14 17:00:00,2.33,84.15
Hub Casablanca,2025-01-14 18:00:00,2.01,86.96
Hub Casablanca,2025-01-14 19:00:00,1.56,86.7
Hub Casablanca,2025-01-14 20:00:00,2.05,87.64
Hub Casablanca,2025-01-14 21:00:00,1.67,85.12
Hub Casablanca,2025-01-14 22:00:00,2.5,82.26
Hub Casablanca,2025-01-14 23:00:00,1.94,83.61
Hub Casablanca,2025-01-15 00:00:00,1.6,86.03
Hub Casablanca,2025-01-15 01:00:00,1.85,90.46
Hub Casablanca,2025-01-15 02:00:00,2.22,83.55
Hub Casablanca,2025-01-15 03:00:00,1.73,87.41
Hub Casablanca,2025-01-15 04:00:00,1.6,84.02
Hub Casablanca,2025-01-15 05:00:00,2.13,85.33
Hub Casablanca,2025-01-15 06:00:00,2.13,89.55
Hub Casablanca,2025-01-15 07:00:00,1.76,87.29
Hub Casablanca,2025-01-15 08:00:00,1.77,81.28
Hub Casablanca,2025-01-15 09:00:00,2.13,83.28
Hub Casablanca,2025-01-15 10:00:00,1.29,88.77
Hub Casablanca,2025-01-15 11:00:00,1.31,85.43
Hub Casablanca,2025-01-15 12:00:00,1.65,81.55
Hub Casablanca,2025-01-15 13:00:00,1.9,82.54
Hub Casablanca,2025-01-15 14:00:00,2.16,87.11
Hub Casablanca,2025-01-15 15:00:00,2.75,87.98
Hub Casablanca,2025-01-15 16:00:00,2.44,85.05
Hub Casablanca,2025-01-15 17:00:00,1.93,92.43
Hub Casablanca,2025-01-15 18:00:00,2.0,87.47
Hub Casablanca,2025-01-15 19:00:00,1.51,84.27
Hub Casablanca,2025-01-15 20:00:00,2.0,82.55
Hub Casablanca,2025-01-15 21:00:00,1.86,82.08
Hub Casablanca,2025-01-15 22:00:00,2.17,86.01
Hub Casablanca,2025-01-15 23:00:00,1.59,83.53
Hub Casablanca,2025-01-16 00:00:00,2.27,90.02
Hub Casablanca,2025-01-16 01:00:00,2.77,89.4
Hub Casablanca,2025-01-16 02:00:00,1.95,86.9
Hub Casablanca,2025-01-16 03:00:00,2.21,81.46
Hub Casablanca,2025-01-16 04:00:00,7.35,82.98
Hub Casablanca,2025-01-16 05:00:00,1.81,88.77
Hub Casablanca,2025-01-16 06:00:00,2.12,83.31
Hub Casablanca,2025-01-16 07:00:00,2.01,88.37
Hub Casablanca,2025-01-16 08:00:00,2.06,86.42
Hub Casablanca,2025-01-16 09:00:00,1.62,85.16
Hub Casablanca,2025-01-16 10:00:00,2.02,82.89
Hub Casablanca,2025-01-16 11:00:00,2.26,84.72
Hub Casablanca,2025-01-16 12:00:00,2.73,85.57
Hub Casablanca,2025-01-16 13:00:00,2.49,88.1
Hub Casablanca,2025-01-16 14:00:00,3.08,82.34
Hub Casablanca,2025-01-16 15:00:00,1.62,84.21
Hub Casablanca,2025-01-16 16:00:00,2.44,85.13
Hub Casablanca,2025-01-16 17:00:00,2.1,86.99
Hub Casablanca,2025-01-16 18:00:00,3.1,82.27
Hub Casablanca,2025-01-16 19:00:00,1.6,81.05
Hub Casablanca,2025-01-16 20:00:00,1.59,87.02
Hub Casablanca,2025-01-16 21:00:00,1.71,80.45
Hub Casablanca,2025-01-16 22:00:00,0.94,88.85
Hub Casablanca,2025-01-16 23:00:00,1.74,84.53
Hub Casablanca,2025-01-17 00:00:00,1.63,80.36
Hub Casablanca,2025-01-17 01:00:00,2.08,83.56
Hub Casablanca,2025-01-17 02:00:00,2.18,86.14
Hub Casablanca,2025-01-17 03:00:00,2.94,83.4
Hub Casablanca,2025-01-17 04:00:00,2.48,85.06
Hub Casablanca,2025-01-17 05:00:00,1.72,87.22
Hub Casablanca,2025-01-17 06:00:00,1.55,84.39
Hub Casablanca,2025-01-17 07:00:00,7.25,82.19
Hub Casablanca,2025-01-17 08:00:00,1.34,84.1
Hub Casablanca,2025-01-17 09:00:00,2.92,89.24
Hub Casablanca,2025-01-17 10:00:00,2.59,90.06
Hub Casablanca,2025-01-17 11:00:00,1.77,78.94
Hub Casablanca,2025-01-17 12:00:00,1.15,88.27
Hub Casablanca,2025-01-17 13:00:00,2.68,85.75
Hub Casablanca,2025-01-17 14:00:00,1.95,87.77
Hub Casablanca,2025-01-17 15:00:00,2.62,83.35
Hub Casablanca,2025-01-17 16:00:00,1.21,79.7
Hub Casablanca,2025-01-17 17:00:00,1.7,86.75
Hub Casablanca,2025-01-17 18:00:00,2.01,82.18
Hub Casablanca,2025-01-17 19:00:00,2.03,80.84
Hub Casablanca,2025-01-17 20:00:00,1.78,81.04
Hub Casablanca,2025-01-17 21:00:00,2.31,86.8
Hub Casablanca,2025-01-17 22:00:00,1.47,85.42
Hub Casablanca,2025-01-17 23:00:00,1.93,87.35
Hub Casablanca,2025-01-18 00:00:00,2.06,87.01
Hub Casablanca,2025-01-18 01:00:00,2.26,83.74
Hub Casablanca,2025-01-18 02:00:00,2.36,84.79
Hub Casablanca,2025-01-18 03:00:00,1.44,83.47
Hub Casablanca,2025-01-18 04:00:00,1.24,84.37
Hub Casablanca,2025-01-18 05:00:00,2.64,82.1
Hub Casablanca,2025-01-18 06:00:00,2.17,86.17
Hub Casablanca,2025-01-18 07:00:00,1.63,88.23
Hub Casablanca,2025-01-18 08:00:00,2.78,82.55
Hub Casablanca,2025-01-18 09:00:00,2.06,88.84
Hub Casablanca,2025-01-18 10:00:00,2.59,85.34
Hub Casablanca,2025-01-18 11:00:00,2.04,85.72
Hub Casablanca,2025-01-18 12:00:00,3.03,79.9
Hub Casablanca,2025-01-18 13:00:00,2.88,79.58
Hub Casablanca,2025-01-18 14:00:00,1.88,85.43
Hub Casablanca,2025-01-18 15:00:00,2.49,87.37
Hub Casablanca,2025-01-18 16:00:00,2.32,82.99
Hub Casablanca,2025-01-18 17:00:00,2.69,90.01
Hub Casablanca,2025-01-18 18:00:00,1.52,87.2
Hub Casablanca,2025-01-18 19:00:00,2.34,82.27
Hub Casablanca,2025-01-18 20:00:00,2.53,85.09
Hub Casablanca,2025-01-18 21:00:00,1.12,92.43
Hub Casablanca,2025-01-18 22:00:00,1.41,81.27
Hub Casablanca,2025-01-18 23:00:00,0.98,86.58
Hub Casablanca,2025-01-19 00:00:00,1.87,84.03
Hub Casablanca,2025-01-19 01:00:00,2.36,87.12
Hub Casablanca,2025-01-19 02:00:00,2.75,88.8
Hub Casablanca,2025-01-19 03:00:00,2.04,83.84
Hub Casablanca,2025-01-19 04:00:00,2.82,88.36
Hub Casablanca,2025-01-19 05:00:00,1.31,91.66
Hub Casablanca,2025-01-19 06:00:00,1.15,85.2
Hub Casablanca,2025-01-19 07:00:00,1.97,87.35
Hub Casablanca,2025-01-19 08:00:00,2.19,83.23
Hub Casablanca,2025-01-19 09:00:00,1.98,85.06
Hub Casablanca,2025-01-19 10:00:00,0.97,84.47
Hub Casablanca,2025-01-19 11:00:00,1.96,87.39
Hub Casablanca,2025-01-19 12:00:00,1.35,88.61
Hub Casablanca,2025-01-19 13:00:00,2.34,84.67
Hub Casablanca,2025-01-19 14:00:00,2.18,89.6
Hub Casablanca,2025-01-19 15:00:00,1.53,89.59
Hub Casablanca,2025-01-19 16:00:00,1.74,87.54
Hub Casablanca,2025-01-19 17:00:00,1.47,83.45
Hub Casablanca,2025-01-19 18:00:00,1.97,83.16
Hub Casablanca,2025-01-19 19:00:00,2.48,82.56
Hub Casablanca,2025-01-19 20:00:00,1.51,87.85
Hub Casablanca,2025-01-19 21:00:00,2.25,81.36
Hub Casablanca,2025-01-19 22:00:00,1.74,87.03
Hub Casablanca,2025-01-19 23:00:00,1.6,81.76
Hub Casablanca,2025-01-20 00:00:00,1.95,87.47
Hub Casablanca,2025-01-20 01:00:00,1.48,85.05
Hub Casablanca,2025-01-20 02:00:00,1.72,89.0
Hub Casablanca,2025-01-20 03:00:00,1.4,88.42
Hub Casablanca,2025-01-20 04:00:00,2.98,89.31
Hub Casablanca,2025-01-20 05:00:00,2.02,89.38
Hub Casablanca,2025-01-20 06:00:00,1.65,85.43
Hub Casablanca,2025-01-20 07:00:00,2.11,81.52
Hub Casablanca,2025-01-20 08:00:00,1.94,81.84
